,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switching-cost-rt-taskswitch,relative-switching-cost-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
10,72,PRE_TEST,521.2777777777778,0.92,0.6666666666666666,0.5066666666666667,4.326923076923094,196.59090909090912,0.5,0.45,0.6875,0.8125,0.8125,0.9375,0.625,0.9,0.95,0.6,0.2,0.1,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.1666666666666666
11,72,POST_TEST,567.5555555555555,0.92,0.7066666666666667,0.5066666666666666,85.57777777777778,42.25490196078431,0.55,0.45,0.75,0.75,0.875,0.875,0.5,0.85,0.95,0.65,0.3,0.2,1.0,1.0,0.9166666666666666,0.3333333333333333,0.3333333333333333
12,82,PRE_TEST,655.3125,0.8133333333333336,0.5999999999999999,0.4666666666666667,-7.730769230769283,365.813953488372,0.2,0.15,0.0,0.1875,0.125,0.375,0.125,0.35,0.35,0.15,0.55,0.5,0.8333333333333334,0.4166666666666667,0.25,0.0833333333333333,0.0
13,82,POST_TEST,587.0555555555555,0.84,0.6133333333333333,0.5466666666666666,201.60416666666669,129.875,0.25,0.25,0.0,0.0,0.0625,0.0,0.0625,0.55,0.65,0.45,0.25,0.35,0.75,0.5833333333333334,0.25,0.0833333333333333,0.0
14,85,PRE_TEST,477.5,0.9866666666666668,0.7733333333333334,0.5733333333333334,20.60784313725492,55.82222222222225,0.7,0.75,0.6875,0.625,0.8125,0.8125,0.5,1.0,0.8,0.85,0.7,0.5,1.0,0.9166666666666666,0.6666666666666666,0.5,0.25
15,85,POST_TEST,454.3333333333333,0.9866666666666668,0.8000000000000002,0.6133333333333332,19.49056603773585,127.09302325581396,0.95,0.95,0.625,0.6875,0.8125,0.75,0.3125,0.95,0.9,0.8,0.8,0.55,1.0,1.0,0.8333333333333334,0.5833333333333334,0.3333333333333333
16,84,PRE_TEST,540.8888888888889,0.8400000000000002,0.6133333333333333,0.5866666666666664,-86.96428571428572,322.475,0.7,0.8,0.875,1.0,1.0,0.875,0.4375,0.8,0.65,0.25,0.05,0.0,0.9166666666666666,0.9166666666666666,0.5,0.3333333333333333,0.0
17,84,POST_TEST,601.1666666666666,0.52,0.5333333333333333,0.5333333333333331,-95.50847457627124,296.62162162162167,0.9,0.65,0.9375,0.9375,1.0,0.9375,0.4375,0.5,0.5,0.35,0.35,0.1,0.9166666666666666,0.75,0.3333333333333333,0.0833333333333333,0.0
18,87,PRE_TEST,455.9411764705882,1.0,0.7733333333333335,0.5333333333333333,16.038461538461547,214.68181818181813,0.85,0.7,0.6875,0.8125,1.0,0.875,0.6875,0.95,0.9,0.95,0.55,0.45,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
19,87,POST_TEST,483.27777777777777,0.9866666666666668,0.7466666666666667,0.6133333333333334,65.38461538461542,228.47727272727275,0.9,0.7,0.875,0.8125,0.8125,0.9375,0.5,0.95,0.95,0.8,0.6,0.35,1.0,1.0,1.0,0.5833333333333334,0.4166666666666667
20,90,PRE_TEST,636.4117647058823,0.9333333333333332,0.8266666666666667,0.7866666666666667,-13.481481481481469,159.54761904761904,0.9,0.7,0.625,0.5625,0.5,0.625,0.25,0.8,0.7,0.6,0.4,0.35,0.9166666666666666,0.9166666666666666,1.0,0.5833333333333334,0.4166666666666667
21,90,POST_TEST,591.7222222222222,0.9600000000000002,0.8666666666666668,0.7333333333333333,-127.28571428571428,238.85,0.9,1.0,0.625,0.8125,0.8125,0.75,0.25,1.0,0.95,0.9,0.6,0.25,1.0,1.0,0.6666666666666666,0.5,0.5
22,96,PRE_TEST,581.1764705882352,0.9733333333333334,0.8000000000000002,0.6,65.40425531914889,133.75510204081633,0.7,0.65,0.625,0.75,0.6875,0.6875,0.625,0.75,0.55,0.35,0.45,0.3,,,,,
23,96,POST_TEST,540.1666666666666,0.9733333333333332,0.7733333333333333,0.6133333333333333,166.02222222222218,116.60784313725492,0.8,0.4,0.875,0.9375,0.9375,0.9375,0.9375,0.9,0.7,0.55,0.55,0.35,,,,,
24,97,PRE_TEST,594.8888888888889,0.96,0.7333333333333333,0.5733333333333334,61.17021276595744,124.9387755102041,0.6,0.4,0.6875,0.75,0.75,0.8125,0.375,0.45,0.15,0.1,0.35,0.2,0.8333333333333334,0.75,0.1666666666666666,0.0833333333333333,0.0
25,97,POST_TEST,687.6470588235294,0.8400000000000001,0.6266666666666667,0.52,188.2380952380952,-65.16666666666669,0.45,0.4,0.5,0.75,0.625,0.75,0.8125,0.2,0.1,0.15,0.35,0.25,0.75,0.5,0.25,0.0,0.0
26,116,PRE_TEST,483.88235294117646,0.88,0.64,0.4933333333333333,36.38,62.91304347826088,1.0,0.85,0.8125,0.75,0.8125,0.9375,0.6875,0.95,0.7,0.85,0.6,0.25,1.0,0.9166666666666666,0.25,0.0833333333333333,0.0
27,116,POST_TEST,461.2941176470589,0.9733333333333334,0.6133333333333333,0.5199999999999999,-13.346153846153868,92.4318181818182,0.9,0.8,0.75,0.75,0.875,0.875,0.5625,0.95,1.0,0.75,0.7,0.45,1.0,0.9166666666666666,0.0833333333333333,0.0,0.1666666666666666
28,140,PRE_TEST,414.94444444444446,0.9733333333333332,0.8533333333333335,0.56,52.71111111111114,-32.019607843137265,0.8,0.6,0.75,1.0,1.0,0.9375,0.3125,0.9,0.9,0.8,0.6,0.35,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.4166666666666667,0.4166666666666667
29,140,POST_TEST,470.2941176470589,0.96,0.8533333333333334,0.68,-85.98333333333332,167.41666666666669,0.6,0.6,0.9375,0.875,1.0,1.0,0.5625,0.95,0.9,0.8,0.75,0.5,1.0,1.0,0.6666666666666666,0.25,0.0833333333333333
30,155,PRE_TEST,574.3571428571429,0.9866666666666668,0.6666666666666665,0.5599999999999999,304.5609756097561,-21.54545454545456,0.65,0.5,0.4375,0.6875,0.5625,0.625,0.4375,0.9,0.7,0.7,0.3,0.05,0.75,0.8333333333333334,0.75,0.1666666666666666,0.0
31,155,POST_TEST,703.3333333333334,0.92,0.6666666666666666,0.5733333333333331,93.40425531914887,51.77551020408163,0.75,0.7,0.3125,0.75,0.4375,0.5625,0.625,0.95,0.75,0.65,0.4,0.4,0.9166666666666666,0.75,0.5833333333333334,0.25,0.3333333333333333
32,158,PRE_TEST,542.5,0.9866666666666668,0.8,0.6133333333333334,150.0697674418605,14.433962264150978,0.55,0.85,0.8125,0.6875,0.625,0.6875,0.1875,0.75,0.4,0.15,0.1,0.0,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666
33,158,POST_TEST,521.1111111111111,0.9866666666666668,0.6933333333333334,0.5599999999999999,-22.615384615384585,128.4318181818182,0.8,0.75,0.75,0.8125,0.875,0.875,0.0,0.8,0.4,0.2,0.0,0.05,1.0,0.8333333333333334,0.5833333333333334,0.0833333333333333,0.1666666666666666
34,165,PRE_TEST,545.1111111111111,0.9600000000000002,0.7200000000000001,0.5466666666666666,3.2909090909090537,283.9024390243902,0.7,0.65,0.4375,0.625,0.75,0.5625,0.4375,0.65,0.8,0.7,0.35,0.2,1.0,0.8333333333333334,0.75,0.3333333333333333,0.1666666666666666
35,165,POST_TEST,531.1666666666666,0.96,0.6933333333333332,0.64,97.32653061224494,183.531914893617,0.55,0.45,1.0,0.8125,0.9375,0.8125,0.4375,0.65,0.8,0.7,0.45,0.05,1.0,1.0,0.6666666666666666,0.4166666666666667,0.3333333333333333
36,168,PRE_TEST,530.5555555555555,0.9066666666666666,0.7333333333333333,0.6,87.70000000000005,142.1304347826087,0.7,0.55,0.5625,0.75,0.8125,0.6875,0.4375,0.55,0.65,0.65,0.45,0.4,1.0,0.5,0.75,0.5833333333333334,0.4166666666666667
37,168,POST_TEST,558.0,0.8933333333333334,0.6533333333333332,0.5866666666666666,-11.791666666666686,68.52083333333331,0.6,0.55,0.75,0.6875,0.8125,0.75,0.5,0.85,0.7,0.45,0.35,0.4,0.9166666666666666,0.75,0.9166666666666666,0.5,0.1666666666666666
38,177,PRE_TEST,510.3888888888889,0.9066666666666666,0.7466666666666667,0.4933333333333334,1.0,439.25000000000006,0.65,0.75,0.75,1.0,0.9375,0.8125,0.5,0.7,0.55,0.4,0.3,0.2,0.9166666666666666,0.6666666666666666,0.75,0.5,0.25
39,177,POST_TEST,489.8125,0.9333333333333336,0.6266666666666666,0.5866666666666667,178.4772727272727,57.44230769230768,0.95,0.9,1.0,1.0,0.875,0.9375,0.375,1.0,0.5,0.35,0.05,0.0,1.0,0.8333333333333334,0.5833333333333334,0.25,0.1666666666666666
40,178,PRE_TEST,478.77777777777777,0.7866666666666667,0.5866666666666666,0.5733333333333331,462.6590909090909,14.67307692307702,0.8,0.7,0.6875,0.75,0.75,0.8125,0.5,0.1,0.35,0.15,0.4,0.4,0.9166666666666666,0.75,0.3333333333333333,0.1666666666666666,0.0833333333333333
41,178,POST_TEST,509.8333333333333,0.8666666666666668,0.6666666666666666,0.5599999999999999,288.1590909090909,73.15384615384608,0.7,0.6,0.875,0.625,0.8125,0.75,0.4375,0.25,0.35,0.45,0.25,0.45,0.8333333333333334,0.75,0.5,0.3333333333333333,0.0833333333333333
42,179,PRE_TEST,546.7647058823529,0.84,0.6400000000000001,0.4800000000000001,104.37777777777774,36.0,0.9,0.85,0.6875,0.6875,0.6875,0.875,0.0625,0.7,0.6,0.65,0.6,0.55,1.0,0.9166666666666666,0.5833333333333334,0.25,0.0833333333333333
43,179,POST_TEST,585.2941176470588,0.8933333333333333,0.56,0.5599999999999999,-5.203703703703752,170.14285714285717,0.35,0.4,0.5625,0.9375,0.75,0.8125,0.5,0.4,0.55,0.3,0.2,0.5,1.0,0.8333333333333334,0.3333333333333333,0.25,0.0
44,180,PRE_TEST,442.3888888888889,0.9333333333333332,0.6933333333333332,0.6533333333333334,77.23913043478257,21.06,0.7,0.65,0.9375,0.75,0.8125,0.875,0.3125,0.9,0.85,0.65,0.45,0.1,0.8333333333333334,0.75,0.5833333333333334,0.1666666666666666,0.0
45,180,POST_TEST,484.22222222222223,0.8933333333333334,0.7733333333333334,0.5733333333333334,75.3125,54.083333333333314,0.95,0.45,0.9375,0.9375,0.875,0.8125,0.5,0.8,0.8,0.65,0.2,0.15,0.8333333333333334,0.8333333333333334,0.75,0.5833333333333334,0.0833333333333333
